Config,A_mm2,p_um,ISO,S_O,S_P,S_C,S_Y,5k_O,5k_P,5k_C,5k_Y,50k_O,50k_P,50k_C,50k_Y
100% critical,50.0,5.0,ISO3,1.000000,0.948816,0.999902,0.948724,1.000000,0.005227,0.990252,0.005176,1.000000,0.000000,0.906689,0.000000
100% critical,50.0,5.0,ISO2,1.000000,0.994760,0.999902,0.994662,1.000000,0.591319,0.990252,0.585555,1.000000,0.005227,0.906689,0.004739
100% critical,50.0,5.0,ISO1,1.000000,0.999475,0.999902,0.999377,1.000000,0.948816,0.990252,0.939568,1.000000,0.591319,0.906689,0.536143
25% critical,50.0,5.0,ISO3,1.000000,0.986895,0.999976,0.986871,1.000000,0.267368,0.997554,0.266714,1.000000,0.000002,0.975809,0.000002
25% critical,50.0,5.0,ISO2,1.000000,0.998682,0.999976,0.998657,1.000000,0.876417,0.997554,0.874274,1.000000,0.267368,0.975809,0.260900
25% critical,50.0,5.0,ISO1,1.000000,0.999868,0.999976,0.999844,1.000000,0.986895,0.997554,0.984482,1.000000,0.876417,0.975809,0.855216
20% critical + 10% redundant,50.0,5.0,ISO3,1.000000,0.989444,0.999980,0.989425,1.000000,0.346039,0.998043,0.345362,1.000000,0.000025,0.980600,0.000024
20% critical + 10% redundant,50.0,5.0,ISO2,1.000000,0.998939,0.999980,0.998920,1.000000,0.899316,0.998043,0.897556,1.000000,0.346039,0.980600,0.339326
20% critical + 10% redundant,50.0,5.0,ISO1,1.000000,0.999894,0.999980,0.999874,1.000000,0.989444,0.998043,0.987508,1.000000,0.899316,0.980600,0.881869
100% critical,50.0,1.0,ISO3,0.999998,0.948817,0.997553,0.946494,0.999813,0.005227,0.782738,0.004090,0.998128,0.000000,0.086330,0.000000
100% critical,50.0,1.0,ISO2,0.999998,0.994760,0.997553,0.992324,0.999813,0.591320,0.782738,0.462762,0.998128,0.005227,0.086330,0.000450
100% critical,50.0,1.0,ISO1,0.999998,0.999475,0.997553,0.997028,0.999813,0.948817,0.782738,0.742535,0.998128,0.591320,0.086330,0.050953
25% critical,50.0,1.0,ISO3,0.999999,0.986895,0.999388,0.986291,0.999947,0.267372,0.940598,0.251477,0.999468,0.000002,0.542052,0.000001
25% critical,50.0,1.0,ISO2,0.999999,0.998682,0.999388,0.998070,0.999947,0.876419,0.940598,0.824314,0.999468,0.267372,0.542052,0.144853
25% critical,50.0,1.0,ISO1,0.999999,0.999868,0.999388,0.999255,0.999947,0.986895,0.940598,0.928223,0.999468,0.876419,0.542052,0.474812
20% critical + 10% redundant,50.0,1.0,ISO3,0.999999,0.989444,0.999510,0.988959,0.999947,0.346045,0.952189,0.329483,0.999468,0.000025,0.612678,0.000015
20% critical + 10% redundant,50.0,1.0,ISO2,0.999999,0.998939,0.999510,0.998450,0.999947,0.899318,0.952189,0.856275,0.999468,0.346045,0.612678,0.211902
20% critical + 10% redundant,50.0,1.0,ISO1,0.999999,0.999894,0.999510,0.999404,0.999947,0.989444,0.952189,0.942088,0.999468,0.899318,0.612678,0.550700
100% critical,500.0,5.0,ISO3,1.000000,0.605768,0.999021,0.605175,1.000000,0.006654,0.990250,0.006589,1.000000,0.000000,0.906668,0.000000
100% critical,500.0,5.0,ISO2,1.000000,0.951110,0.999021,0.950178,1.000000,0.605768,0.990250,0.599861,1.000000,0.006654,0.906668,0.006033
100% critical,500.0,5.0,ISO1,1.000000,0.995000,0.999021,0.994026,1.000000,0.951110,0.990250,0.941836,1.000000,0.605768,0.906668,0.549230
25% critical,500.0,5.0,ISO3,1.000000,0.882035,0.999755,0.881819,1.000000,0.285009,0.997554,0.284312,1.000000,0.000004,0.975803,0.000003
25% critical,500.0,5.0,ISO2,1.000000,0.987526,0.999755,0.987284,1.000000,0.882035,0.997554,0.879877,1.000000,0.285009,0.975803,0.278113
