Config,A_mm2,p_um,ISO,S_O,S_P,S_C,S_Y,5k_O,5k_P,5k_C,5k_Y,50k_O,50k_P,50k_C,50k_Y
100% critical,50.0,5.0,ISO1,1.000000,0.999475,0.999902,0.999377,1.000000,0.948816,0.990252,0.939568,1.000000,0.591319,0.906689,0.536143
25% critical,50.0,5.0,ISO1,1.000000,0.999868,0.999976,0.999844,1.000000,0.986895,0.997554,0.984482,1.000000,0.876417,0.975809,0.855216
20% critical + 10% redundant,50.0,5.0,ISO1,1.000000,0.999894,0.999980,0.999874,1.000000,0.989444,0.998043,0.987508,1.000000,0.899316,0.980600,0.881869
100% critical,50.0,1.0,ISO1,0.999998,0.999475,0.997553,0.997028,0.999813,0.948817,0.782738,0.742535,0.998128,0.591320,0.086330,0.050953
25% critical,50.0,1.0,ISO1,0.999999,0.999868,0.999388,0.999255,0.999947,0.986895,0.940598,0.928223,0.999468,0.876419,0.542052,0.474812
20% critical + 10% redundant,50.0,1.0,ISO1,0.999999,0.999894,0.999510,0.999404,0.999947,0.989444,0.952189,0.942088,0.999468,0.899318,0.612678,0.550700
100% critical,500.0,5.0,ISO1,1.000000,0.995000,0.999021,0.994026,1.000000,0.951110,0.990250,0.941836,1.000000,0.605768,0.906668,0.549230
25% critical,500.0,5.0,ISO1,1.000000,0.998746,0.999755,0.998501,1.000000,0.987526,0.997554,0.985110,1.000000,0.882035,0.975803,0.860692
20% critical + 10% redundant,500.0,5.0,ISO1,1.000000,0.998995,0.999804,0.998799,1.000000,0.989995,0.998042,0.988057,1.000000,0.904334,0.980595,0.886786
100% critical,500.0,1.0,ISO1,0.997121,0.995000,0.975803,0.968129,0.971581,0.951111,0.782746,0.723321,0.749533,0.605776,0.086339,0.039202
25% critical,500.0,1.0,ISO1,0.999917,0.998746,0.993895,0.992565,0.999165,0.987526,0.940600,0.928093,0.991685,0.882038,0.542065,0.474147
20% critical + 10% redundant,500.0,1.0,ISO1,0.999917,0.998995,0.995113,0.994030,0.999165,0.989995,0.952191,0.941878,0.991685,0.904337,0.612691,0.549472
