distance phi
85.19 0.975349
125.19 0.953341
165.19 0.937561
205.19 0.930854
245.19 0.910982
285.19 0.893265
325.19 0.891258
365.19 0.861418
405.19 0.852003
445.19 0.841793
485.19 0.812644
525.19 0.804804
565.19 0.803441
605.19 0.776663
645.19 0.767585
685.19 0.746399
725.19 0.728647
765.19 0.714759
805.19 0.690611
845.19 0.695594
885.19 0.664430
925.19 0.661809
965.19 0.610736
1005.19 0.623943
1045.19 0.610281
1085.19 0.576008
1125.19 0.552425
1165.19 0.578606
1205.19 0.537535
1245.19 0.485994
1285.19 0.521652
1325.19 0.515424
1365.19 0.459366
1405.19 0.447584
1445.19 0.480145
1485.19 0.444851
1525.19 0.395472
1565.19 0.402597
1605.19 0.382213
1645.19 0.411748
1685.19 0.339319
1725.19 0.348926
1765.19 0.339691
1805.19 0.342060
1845.19 0.276875
1885.19 0.310083
1925.19 0.313061
1965.19 0.281441
2005.19 0.240988
2045.19 0.283933
2085.19 0.218492
2125.19 0.182908
2165.19 0.250203
2205.19 0.186966
2245.19 0.189336
2285.19 0.171361
2325.19 0.173683
2365.19 0.147515
2405.19 0.153798
2445.19 0.122199
2485.19 0.133215
2525.19 0.110972
2565.19 0.094165
2605.19 0.119063
2645.19 0.078989
2685.19 0.086609
2725.19 0.037850
2765.19 0.086300
2805.19 0.076540
2845.19 0.034904
2885.19 0.024835
2925.19 0.062450
2965.19 0.023263
3005.19 -0.021532
3045.19 0.044224
3085.19 -0.000684
3125.19 0.012338
3165.19 -0.023450
3205.19 -0.013446
3245.19 -0.004202
3285.19 -0.007676
3325.19 -0.053243
3365.19 -0.015630
3405.19 0.006773
3445.19 -0.076792
3485.19 -0.041632
3525.19 -0.018753
3565.19 -0.034422
3605.19 -0.081280
3645.19 -0.027474
3685.19 -0.033087
3725.19 -0.065149
3765.19 -0.081695
3805.19 -0.043772
3845.19 -0.075521
3885.19 -0.061824
3925.19 -0.062811
3965.19 -0.067224
4005.19 -0.070510
4045.19 -0.086728
4085.19 -0.076917
4125.19 -0.074135
4165.19 -0.088717
4205.19 -0.090498
4245.19 -0.075896
4285.19 -0.071171
4325.19 -0.144959
4365.19 -0.091715
4405.19 -0.076304
4445.19 -0.119294
4485.19 -0.145956
4525.19 -0.072577
4565.19 -0.121891
4605.19 -0.137141
4645.19 -0.148437
4685.19 -0.121518
4725.19 -0.131056
4765.19 -0.167676
4805.19 -0.159690
4845.19 -0.112773
4885.19 -0.158124
4925.19 -0.193974
4965.19 -0.158868
5020.00 -0.152795
5060.00 -0.153534
5100.00 -0.187823
5140.00 -0.196392
5180.00 -0.152704
5220.00 -0.165770
5260.00 -0.227630
5300.00 -0.171435
5340.00 -0.166272
5380.00 -0.192228
5420.00 -0.224623
5460.00 -0.164974
5500.00 -0.201302
5540.00 -0.216052
5580.00 -0.195126
5620.00 -0.213813
5660.00 -0.192191
5700.00 -0.251358
5740.00 -0.194493
5780.00 -0.200320
5820.00 -0.217167
5860.00 -0.249821
5900.00 -0.201369
5940.00 -0.214483
5980.00 -0.239352
6020.00 -0.256028
6060.00 -0.194146
6100.00 -0.234016
6140.00 -0.290263
6180.00 -0.218985
6220.00 -0.241933
6260.00 -0.249061
6300.00 -0.282623
6340.00 -0.254839
6380.00 -0.247346
6420.00 -0.275535
6460.00 -0.289400
6500.00 -0.288829
6540.00 -0.277475
6580.00 -0.309141
6620.00 -0.295155
6660.00 -0.304067
6700.00 -0.296325
6740.00 -0.357907
6780.00 -0.306313
6820.00 -0.328644
6860.00 -0.345892
6900.00 -0.339378
6940.00 -0.322958
6980.00 -0.344347
7020.00 -0.396015
7060.00 -0.309687
7100.00 -0.343466
7140.00 -0.379167
7180.00 -0.372781
7220.00 -0.355174
7260.00 -0.368327
7300.00 -0.362684
7340.00 -0.401781
7380.00 -0.356690
7420.00 -0.360038
7460.00 -0.424610
7500.00 -0.384678
7540.00 -0.363379
7580.00 -0.391560
7620.00 -0.428643
7660.00 -0.397230
7700.00 -0.380405
7740.00 -0.419759
7780.00 -0.425451
7820.00 -0.405464
7860.00 -0.423677
7900.00 -0.438489
7940.00 -0.413478
7980.00 -0.444695
8020.00 -0.461581
8060.00 -0.452778
8100.00 -0.470363
8140.00 -0.463886
8180.00 -0.476360
8220.00 -0.503526
8260.00 -0.495126
8300.00 -0.502145
8340.00 -0.553176
8380.00 -0.534160
8420.00 -0.508965
8460.00 -0.558584
8500.00 -0.562850
8540.00 -0.551805
8580.00 -0.590487
8620.00 -0.592085
8660.00 -0.579786
8700.00 -0.592202
8740.00 -0.604397
8780.00 -0.580134
8820.00 -0.611942
8860.00 -0.605603
8900.00 -0.584834
8940.00 -0.580529
8980.00 -0.552542
9020.00 -0.551395
9060.00 -0.522172
9100.00 -0.518349
9140.00 -0.494703
9180.00 -0.479575
9220.00 -0.469081
9260.00 -0.435174
9300.00 -0.421655
9340.00 -0.416231
9380.00 -0.398868
9420.00 -0.369224
9460.00 -0.367436
9500.00 -0.350595
9540.00 -0.316560
9580.00 -0.316956
9620.00 -0.294758
9660.00 -0.281061
9700.00 -0.278352
9740.00 -0.252795
9780.00 -0.228328
9820.00 -0.220613
9860.00 -0.213016
9900.00 -0.186893
9940.00 -0.192326
9980.00 -0.184709
10020.00 -0.161801
10060.00 -0.157949
10100.00 -0.145386
10140.00 -0.129151
10180.00 -0.136854
10220.00 -0.125060
10260.00 -0.112681
10300.00 -0.106814
10340.00 -0.107959
10380.00 -0.085876
10420.00 -0.084730
10460.00 -0.084366
10500.00 -0.078151
10540.00 -0.063200
10580.00 -0.070015
10620.00 -0.058478
10660.00 -0.051352
10700.00 -0.052911
10740.00 -0.045755
10780.00 -0.039253
10820.00 -0.041623
10860.00 -0.033102
10900.00 -0.027384
10940.00 -0.027149
10980.00 -0.022544
11020.00 -0.016796
11060.00 -0.016012
11100.00 -0.011968
11140.00 -0.010225
11180.00 -0.007573
11220.00 -0.004953
11260.00 -0.003920
11300.00 -0.002179
11340.00 -0.001050
11380.00 -0.000542
