distance phi
85.19 0.625501
125.19 0.322960
165.19 0.137039
205.19 0.088526
245.19 0.049950
285.19 0.021682
325.19 0.012482
365.19 0.003979
405.19 0.002764
445.19 0.003281
485.19 0.000784
525.19 0.001887
565.19 0.004074
605.19 0.003989
645.19 0.004284
685.19 0.003202
725.19 0.003954
765.19 0.003731
805.19 0.003545
845.19 0.001134
885.19 0.001396
925.19 0.000679
965.19 0.000536
1005.19 -0.001066
1045.19 -0.000695
1085.19 -0.000322
1125.19 0.000280
1165.19 -0.001303
1205.19 -0.000788
1245.19 -0.000463
1285.19 -0.000743
1325.19 -0.000897
1365.19 -0.001279
1405.19 -0.000431
1445.19 -0.000298
1485.19 -0.000154
1525.19 -0.000265
1565.19 0.001052
1605.19 0.001791
1645.19 0.002574
1685.19 0.002130
1725.19 0.001816
1765.19 0.000929
1805.19 -0.000034
1845.19 0.000304
1885.19 0.000734
1925.19 -0.000868
1965.19 0.001650
2005.19 0.002777
2045.19 0.000675
2085.19 0.002697
2125.19 0.002219
2165.19 -0.000098
2205.19 0.001387
2245.19 0.002041
2285.19 0.002107
2325.19 0.001442
2365.19 0.002276
2405.19 0.001533
2445.19 0.002506
2485.19 0.001198
2525.19 0.000095
2565.19 0.001037
2605.19 -0.000304
2645.19 -0.000701
2685.19 -0.000838
2725.19 -0.001171
2765.19 -0.000014
2805.19 0.002073
2845.19 0.002910
2885.19 0.002382
2925.19 0.002813
2965.19 0.003473
3005.19 0.002787
3045.19 0.002155
3085.19 0.001467
3125.19 0.000142
3165.19 0.000423
3205.19 -0.000658
3245.19 -0.001271
3285.19 0.000539
3325.19 -0.000585
3365.19 -0.001010
3405.19 -0.000513
3445.19 -0.002084
3485.19 -0.001718
3525.19 -0.002479
3565.19 -0.002923
3605.19 -0.003051
3645.19 -0.002242
3685.19 -0.002360
3725.19 -0.001541
3765.19 -0.001221
3805.19 -0.001406
3845.19 0.000349
3885.19 0.000593
3925.19 -0.000214
3965.19 -0.000479
4005.19 -0.000701
4045.19 -0.000820
4085.19 -0.001043
4125.19 -0.000399
4165.19 -0.001039
4205.19 -0.001114
4245.19 -0.001239
4285.19 -0.001739
4325.19 -0.000713
4365.19 -0.001126
4405.19 -0.000502
4445.19 0.000217
4485.19 -0.000118
4525.19 -0.000014
4565.19 -0.000228
4605.19 0.000547
4645.19 0.000468
4685.19 0.001269
4725.19 0.001366
4765.19 0.001468
4805.19 0.001478
4845.19 0.001150
4885.19 0.000818
4925.19 0.001410
4965.19 0.001471
5020.00 0.001239
5060.00 0.000309
5100.00 0.001280
5140.00 0.000661
