distance phi
85.19 -0.001365
125.19 0.000873
165.19 -0.000814
205.19 0.001305
245.19 -0.000441
285.19 -0.000700
325.19 -0.000736
365.19 -0.000302
405.19 -0.001370
445.19 -0.000615
485.19 0.000536
525.19 -0.000060
565.19 0.001107
605.19 0.000881
645.19 0.000011
685.19 -0.000355
725.19 -0.001107
765.19 -0.000537
805.19 -0.000205
845.19 -0.000197
885.19 0.000578
925.19 0.000462
965.19 -0.000493
1005.19 0.000250
1045.19 -0.000449
1085.19 -0.000318
1125.19 -0.000344
1165.19 -0.000937
1205.19 -0.000901
1245.19 -0.000631
1285.19 -0.001384
1325.19 0.000504
1365.19 0.000191
1405.19 -0.000185
1445.19 0.000816
1485.19 0.000028
1525.19 0.000365
1565.19 -0.000086
1605.19 0.000977
1645.19 -0.000031
1685.19 -0.000250
1725.19 0.000112
1765.19 -0.000224
1805.19 0.000329
1845.19 0.000754
1885.19 -0.000502
1925.19 0.000383
1965.19 0.000296
2005.19 -0.000064
2045.19 0.000699
2085.19 -0.000179
2125.19 -0.000325
2165.19 -0.000768
2205.19 0.000174
2245.19 0.000467
2285.19 0.000093
2325.19 -0.000115
2365.19 -0.000211
2405.19 0.000298
2445.19 0.000594
2485.19 0.000707
2525.19 -0.000086
2565.19 0.000032
2605.19 0.000000
2645.19 0.000189
2685.19 0.000226
2725.19 -0.000204
2765.19 0.000691
2805.19 0.000055
2845.19 -0.000168
2885.19 0.000599
2925.19 -0.000427
2965.19 0.000313
3005.19 0.000292
3045.19 0.000106
3085.19 -0.000115
3125.19 -0.000749
3165.19 0.000457
3205.19 -0.000193
3245.19 0.000265
3285.19 -0.000278
3325.19 0.000541
3365.19 -0.000089
3405.19 0.000120
3445.19 0.000097
3485.19 -0.000261
3525.19 0.000078
3565.19 -0.000063
3605.19 0.000017
3645.19 -0.000042
3685.19 0.000289
3725.19 -0.000174
3765.19 0.000007
3805.19 -0.000077
3845.19 -0.000266
3885.19 -0.000384
3925.19 0.000027
3965.19 -0.000196
4005.19 0.000335
4045.19 0.000301
4085.19 0.000170
4125.19 0.000724
4165.19 -0.000685
4205.19 0.000301
4245.19 -0.000261
4285.19 -0.000099
4325.19 0.000393
4365.19 -0.000402
4405.19 -0.000179
4445.19 -0.000167
4485.19 0.000154
4525.19 0.000009
4565.19 0.000322
4605.19 0.000088
4645.19 -0.000537
4685.19 0.000419
4725.19 -0.000051
4765.19 -0.000087
4805.19 -0.000199
4845.19 0.000188
4885.19 -0.000575
4925.19 0.000381
4965.19 -0.000131
5020.00 -0.000203
5060.00 -0.000676
5100.00 0.000199
5140.00 -0.000201
5180.00 0.000553
5220.00 0.000058
5260.00 -0.000638
5300.00 0.000272
5340.00 -0.000256
5380.00 0.000408
5420.00 -0.000024
5460.00 0.000207
5500.00 0.000552
5540.00 0.000398
5580.00 -0.000379
5620.00 0.000088
5660.00 -0.000087
5700.00 -0.000228
5740.00 -0.000161
5780.00 -0.000354
5820.00 -0.000233
5860.00 0.000280
5900.00 0.000201
5940.00 0.000421
5980.00 0.000070
6020.00 -0.000596
6060.00 -0.000702
6100.00 0.000505
6140.00 0.000533
6180.00 0.000057
6220.00 0.000573
6260.00 0.000025
6300.00 0.000535
6340.00 0.000208
6380.00 0.000192
6420.00 0.000237
6460.00 -0.000089
6500.00 0.000128
6540.00 -0.000110
6580.00 0.000837
6620.00 0.000543
6660.00 -0.000316
6700.00 0.000343
6740.00 -0.000098
6780.00 0.000172
6820.00 -0.000644
6860.00 -0.000030
6900.00 0.000057
6940.00 -0.000004
6980.00 -0.000260
7020.00 -0.000031
7060.00 0.000620
7100.00 -0.000168
7140.00 0.000033
7180.00 0.000149
7220.00 0.000485
7260.00 -0.000100
7300.00 -0.000227
7340.00 -0.000080
7380.00 -0.000044
7420.00 -0.000486
7460.00 -0.000049
7500.00 0.000412
7540.00 -0.000318
7580.00 0.000142
7620.00 0.000155
7660.00 0.000431
7700.00 -0.001138
7740.00 -0.000262
7780.00 -0.000292
7820.00 -0.000545
7860.00 -0.000330
7900.00 0.000359
7940.00 -0.000580
7980.00 0.000171
8020.00 0.001056
8060.00 -0.000204
8100.00 -0.000120
8140.00 0.000204
8180.00 -0.001220
8220.00 -0.000585
8260.00 -0.000225
8300.00 0.000582
8340.00 0.000358
8380.00 0.000448
8420.00 -0.000540
8460.00 -0.000389
8500.00 0.000049
8540.00 -0.000150
8580.00 -0.000446
8620.00 0.000358
8660.00 -0.000867
8700.00 0.000294
8740.00 0.000233
8780.00 0.000403
8820.00 0.000212
8860.00 0.000242
8900.00 0.001271
8940.00 0.000433
8980.00 0.000952
9020.00 -0.000404
9060.00 -0.000279
9100.00 0.000311
9140.00 0.000739
9180.00 0.000011
9220.00 0.000711
9260.00 -0.000577
9300.00 -0.000317
9340.00 -0.000395
9380.00 0.000431
9420.00 -0.000295
9460.00 0.000675
9500.00 -0.000664
9540.00 -0.000463
9580.00 -0.000225
9620.00 0.000258
9660.00 -0.000592
9700.00 0.000223
9740.00 0.000543
9780.00 -0.000726
9820.00 -0.000921
9860.00 -0.000102
9900.00 0.000049
9940.00 0.001040
9980.00 -0.000157
10020.00 -0.000382
10060.00 -0.000544
10100.00 0.000289
10140.00 -0.000346
10180.00 -0.000346
10220.00 0.001348
10260.00 -0.000664
10300.00 -0.000081
10340.00 -0.000620
10380.00 0.000276
10420.00 -0.000130
10460.00 -0.000772
10500.00 0.000550
10540.00 -0.001037
10580.00 0.001179
10620.00 0.000379
10660.00 0.000391
10700.00 -0.000270
10740.00 -0.001400
10780.00 0.001105
10820.00 -0.001460
10860.00 -0.001187
10900.00 0.000694
10940.00 0.000280
10980.00 0.002145
11020.00 -0.000808
11060.00 0.001677
11100.00 0.002310
11140.00 0.000862
11180.00 0.000459
11220.00 -0.000169
11260.00 -0.000731
11300.00 0.000047
11340.00 -0.001991
11380.00 0.000192
11420.00 -0.001518
11460.00 -0.001682
11500.00 0.001562
11540.00 0.003773
11580.00 0.000825
11620.00 -0.001854
11660.00 0.001570
11700.00 0.001330
11740.00 -0.001494
11780.00 0.000125
11820.00 0.001256
11860.00 0.003597
11900.00 0.000091
11940.00 -0.000747
11980.00 -0.000594
12020.00 -0.007178
12060.00 -0.003666
12100.00 -0.001707
12140.00 0.008246
12180.00 -0.004605
12220.00 0.000221
12260.00 -0.000289
12300.00 0.000743
12340.00 0.002310
12380.00 0.005093
12420.00 -0.005395
12460.00 0.002705
12500.00 -0.006149
12540.00 0.002758
12580.00 -0.003737
12620.00 0.002468
12660.00 0.005938
12700.00 0.000784
12740.00 0.002106
12780.00 0.007527
12820.00 0.000774
12860.00 0.001045
12900.00 -0.003985
12940.00 -0.005750
12980.00 -0.002255
13020.00 0.007184
13060.00 -0.003627
13100.00 0.000202
13140.00 -0.003607
13180.00 -0.001528
13220.00 0.007722
13260.00 0.000519
13300.00 0.024897
13340.00 0.018065
13380.00 -0.014014
13420.00 -0.008371
13460.00 0.006652
13500.00 -0.011125
13540.00 -0.008016
13580.00 -0.059313
13620.00 -0.026507
13660.00 0.002056
13700.00 -0.048619
13740.00 0.013992
13780.00 -0.107926
13820.00 -0.313131
13860.00 0.191919
