Config,A_mm2,p_um,ISO,S_O,S_P,S_C,S_Y,5k_O,5k_P,5k_C,5k_Y,50k_O,50k_P,50k_C,50k_Y
100% critical,50.0,5.0,ISO2,1.000000,0.993011,0.999902,0.992914,1.000000,0.495909,0.990252,0.491075,1.000000,0.000900,0.906689,0.000816
25% critical,50.0,5.0,ISO2,1.000000,0.997525,0.999976,0.997501,1.000000,0.780508,0.997554,0.778599,1.000000,0.083902,0.975809,0.081873
20% critical + 10% redundant,50.0,5.0,ISO2,1.000000,0.997821,0.999980,0.997801,1.000000,0.803995,0.998043,0.802421,1.000000,0.112858,0.980600,0.110669
100% critical,50.0,1.0,ISO2,1.000000,0.993002,0.997553,0.990572,0.999995,0.495455,0.782738,0.387809,0.999952,0.000891,0.086330,0.000077
25% critical,50.0,1.0,ISO2,1.000000,0.997522,0.999388,0.996911,0.999995,0.780274,0.940598,0.733920,0.999952,0.083651,0.542052,0.045341
20% critical + 10% redundant,50.0,1.0,ISO2,1.000000,0.997818,0.999510,0.997329,0.999995,0.803785,0.952189,0.765352,0.999952,0.112564,0.612678,0.068962
100% critical,500.0,5.0,ISO2,1.000000,0.959017,0.999021,0.958077,1.000000,0.658054,0.990250,0.651638,1.000000,0.015227,0.906668,0.013806
25% critical,500.0,5.0,ISO2,1.000000,0.985816,0.999755,0.985574,1.000000,0.866878,0.997554,0.864757,1.000000,0.239650,0.975803,0.233851
20% critical + 10% redundant,500.0,5.0,ISO2,1.000000,0.988279,0.999804,0.988086,1.000000,0.888787,0.998042,0.887047,1.000000,0.307594,0.980595,0.301625
100% critical,500.0,1.0,ISO2,1.000000,0.959007,0.975803,0.935801,1.000000,0.657985,0.782746,0.515034,0.999995,0.015211,0.086339,0.001313
25% critical,500.0,1.0,ISO2,1.000000,0.985811,0.993895,0.979793,1.000000,0.866836,0.940600,0.815346,0.999995,0.239536,0.542065,0.129844
20% critical + 10% redundant,500.0,1.0,ISO2,1.000000,0.988276,0.995113,0.983446,1.000000,0.888753,0.952191,0.846263,0.999995,0.307477,0.612691,0.188388
